V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
89,93,95,67,46,75,100,110,129,72,38,34,7,13,13,16,22,17,0,0
1,0,0,0,0,0,0,0,10,19,22,21,17,9,6,11,8,0,5,5
54,214,234,326,519,325,323,277,463,585,384,173,71,34,28,61,51,37,36,25
12,34,37,75,83,66,42,19,13,20,14,1,7,12,8,3,5,5,3,4
3,0,0,2,0,2,5,3,1,4,4,1,0,3,3,0,4,5,2,1
26,15,15,32,27,25,27,44,63,67,74,149,129,33,62,105,75,142,234,215
95,99,146,147,79,129,134,104,65,47,55,46,37,31,35,45,44,41,19,23
3,3,3,1,7,9,7,1,2,8,10,14,14,11,12,10,1,4,5,4
18,0,0,0,0,0,8,12,7,6,2,0,2,6,4,0,3,2,5,4
64,63,46,26,24,38,59,98,152,104,53,84,130,162,131,108,65,16,14,12
22,23,19,34,35,22,6,13,26,67,117,123,105,112,53,11,4,5,10,11
23,92,360,524,349,293,236,139,85,49,84,86,71,37,35,16,15,4,0,0
23,26,54,52,14,11,17,30,64,135,168,112,84,40,35,38,40,64,63,75
4,3,3,6,0,2,1,1,4,9,8,5,5,7,7,3,3,6,1,2
0,3,3,0,2,0,0,1,3,5,5,2,2,1,0,1,2,1,1,1
2,2,1,1,4,6,1,2,2,2,4,9,9,2,4,7,7,2,3,2
0,0,9,4,2,10,14,11,21,53,93,105,58,54,40,51,50,68,206,330
3,2,10,2,1,9,6,7,21,24,24,26,25,23,16,23,10,3,11,14
6,1,1,6,5,3,4,2,1,2,3,2,1,2,1,1,0,0,7,9
40,22,3,13,28,99,435,466,246,210,245,170,148,129,66,37,25,26,34,56
30,38,36,24,12,39,100,178,213,248,227,224,194,163,129,59,19,20,28,39
0,2,6,0,3,4,2,4,9,10,8,7,11,16,20,13,7,7,7,6
13,6,17,21,7,17,25,86,141,137,131,121,143,101,99,42,15,19,19,7
4,4,1,0,1,4,13,11,8,4,7,2,1,1,2,2,1,1,4,0
55,81,115,199,304,235,230,315,240,237,177,168,183,106,61,45,15,17,24,39
