"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","x"
12,13,5,4,8,36,82,95,66,64,73,45,13,10,5,7,5,2,7,17,1
18,8,2,5,9,6,9,4,9,21,14,10,12,8,4,4,11,8,10,14,1
56,68,60,55,42,41,27,28,29,28,41,51,39,38,37,51,86,94,84,98,0
22,18,18,55,84,220,418,467,333,298,226,162,166,152,108,53,41,28,30,64,1
2,3,9,7,10,6,1,1,2,3,3,1,7,2,7,12,10,8,8,7,0
130,167,187,110,86,79,51,42,53,57,43,40,34,26,34,30,26,23,20,16,1
3,5,4,0,5,1,1,1,3,0,2,3,6,1,0,4,7,4,0,5,0
3,3,6,8,5,4,3,4,10,6,18,14,0,0,4,7,0,0,1,1,1
10,8,13,13,10,4,1,8,8,2,3,1,0,3,4,9,9,5,3,6,0
8,17,9,7,6,5,5,6,6,2,2,3,8,6,1,8,6,8,10,9,1
28,12,3,7,10,47,88,95,95,91,94,85,64,36,24,18,20,27,12,1,1
0,0,0,6,8,3,6,2,4,3,2,7,4,0,0,0,0,2,2,0,0
2,2,5,9,4,3,6,19,12,14,13,22,14,0,4,4,2,1,8,8,1
1,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,1,0
0,3,3,0,0,1,1,0,0,0,0,0,1,2,1,4,0,5,10,5,0
14,18,21,21,31,49,71,79,45,40,28,54,41,22,30,23,41,50,27,21,1
0,0,0,0,0,2,2,3,2,2,3,0,2,2,0,3,0,0,0,0,0
0,0,9,9,0,7,4,0,0,4,11,3,3,5,3,6,3,2,6,1,0
23,92,360,524,349,293,236,139,85,49,84,86,71,37,35,16,15,4,0,0,1
10,3,5,4,2,13,12,4,5,9,3,11,15,3,2,11,11,7,6,5,1
2,5,3,7,7,2,7,7,2,4,5,6,6,6,16,5,13,13,3,0,1
3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,1,2,7,0
6,7,9,18,26,86,137,156,134,206,134,49,42,32,18,27,21,26,50,55,1
4,4,1,1,0,0,0,35,46,44,111,109,75,26,82,87,11,11,7,12,1
3,1,5,6,6,7,10,11,2,2,4,1,4,12,10,8,2,0,0,0,0
43,47,38,29,21,35,41,62,63,84,93,94,51,26,34,36,38,23,21,43,1
15,25,6,17,29,49,69,76,51,75,102,70,60,54,45,23,14,14,16,22,1
16,8,0,2,5,4,3,2,0,0,0,0,0,0,0,0,1,1,4,11,0
12,3,4,5,2,6,30,42,31,52,54,47,40,20,4,3,6,3,15,15,1
33,26,16,48,81,74,67,98,106,138,116,63,45,53,111,113,58,55,26,12,1
