V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
3,0,0,1,1,20,43,100,137,114,175,203,118,34,16,4,4,14,5,12
23,17,22,41,54,106,102,178,193,160,178,155,221,164,62,41,34,17,17,41
244,332,290,254,183,157,129,84,37,57,75,42,42,29,16,9,19,26,20,6
1,0,4,9,5,9,37,56,34,39,49,43,57,45,20,15,9,12,2,2
53,30,14,12,31,100,149,129,100,109,174,208,173,109,51,26,18,25,28,38
11,3,13,21,43,68,103,98,183,235,182,121,76,35,20,30,36,43,36,34
22,6,14,20,58,104,159,178,150,120,116,33,16,26,20,12,26,24,47,53
19,24,77,90,53,33,32,46,139,220,213,175,52,12,37,106,216,419,608,443
3,15,18,3,9,32,51,91,161,135,75,69,46,21,4,0,2,5,3,0
36,34,22,18,44,63,81,90,95,70,29,36,25,82,71,26,12,31,23,12
22,16,20,18,16,13,17,27,76,92,126,110,98,164,153,83,35,25,21,20
12,22,16,2,2,1,4,20,39,72,85,118,54,21,6,14,11,1,2,0
22,80,146,92,29,18,30,84,121,97,87,60,31,26,57,70,64,50,45,45
6,26,45,42,24,17,11,17,47,92,150,162,221,238,234,146,175,274,160,37
28,32,20,16,12,16,20,50,71,85,134,131,71,55,55,54,48,30,0,13
2,4,15,22,12,15,17,22,40,53,39,80,66,13,10,4,5,7,7,9
51,40,14,35,22,24,36,31,18,23,25,36,30,30,13,36,48,114,79,93
284,220,225,189,133,199,264,243,146,66,66,29,39,15,25,33,34,15,8,11
5,33,32,27,21,14,33,114,202,187,140,199,132,22,4,5,5,13,19,7
22,24,17,26,33,25,52,110,130,125,133,142,89,33,18,26,25,27,11,8
0,0,3,4,5,24,46,49,32,93,87,44,10,6,17,13,5,3,4,2
67,104,116,158,151,98,94,94,94,79,39,46,40,38,31,13,33,38,34,32
0,0,0,0,1,2,0,4,25,61,70,75,71,67,57,86,115,108,130,83
6,8,21,49,77,40,39,68,48,64,52,41,31,30,36,22,13,13,4,1
12,7,3,0,3,1,0,3,7,18,19,11,14,13,9,14,8,4,5,11
5,12,15,8,16,25,42,55,108,135,62,50,38,33,7,5,13,18,19,29
46,56,32,25,27,17,14,18,43,59,36,60,67,50,64,102,132,184,154,115
40,25,15,22,34,63,158,269,435,289,156,94,46,11,18,18,29,40,23,12
0,0,0,1,0,1,1,1,3,10,12,5,8,12,15,11,10,12,6,3
30,26,28,52,110,215,202,290,316,294,322,333,319,317,145,18,19,37,88,246
77,56,24,24,19,8,9,16,10,11,8,9,7,9,6,3,2,1,1,0
27,28,22,23,15,26,44,116,155,177,101,84,59,37,20,7,10,26,25,16
0,0,0,4,4,0,0,2,5,8,6,2,4,2,4,8,4,2,2,4
10,0,0,4,13,9,17,12,12,36,65,78,60,45,32,9,12,42,66,145
0,0,2,16,16,12,11,12,10,24,40,15,0,4,2,2,5,4,2,0
6,5,3,3,9,12,9,3,12,20,27,18,7,4,1,1,2,2,4,6
4,10,22,19,14,26,52,102,143,123,128,108,38,15,9,7,7,0,0,0
22,11,23,22,40,29,58,109,139,177,234,232,167,114,94,30,9,9,12,12
180,369,498,307,227,308,275,198,166,156,105,57,65,58,69,48,49,27,18,14
7,10,7,8,6,6,19,55,77,63,89,107,66,20,13,5,1,6,22,16
49,63,42,38,31,40,44,72,60,37,28,37,60,164,231,442,536,507,469,434
42,53,78,131,155,108,99,145,234,182,170,126,102,78,41,35,37,51,54,42
1,2,0,3,3,6,7,13,41,75,74,56,21,8,6,7,7,5,11,10
4,1,3,3,2,1,1,6,24,50,29,13,11,3,2,7,7,2,3,5
23,27,10,4,4,1,39,60,136,135,47,47,40,28,7,2,0,10,8,0
7,8,4,2,1,6,5,6,16,16,23,20,16,13,6,3,3,8,3,7
28,42,38,24,13,28,46,108,151,77,132,133,84,48,16,19,34,53,45,14
