"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "x"
"116" 26 15 15 32 27 25 27 44 63 67 74 149 129 33 62 105 75 142 234 215 1
"117" 95 99 146 147 79 129 134 104 65 47 55 46 37 31 35 45 44 41 19 23 1
"118" 3 3 3 1 7 9 7 1 2 8 10 14 14 11 12 10 1 4 5 4 1
"119" 18 0 0 0 0 0 8 12 7 6 2 0 2 6 4 0 3 2 5 4 1
"120" 64 63 46 26 24 38 59 98 152 104 53 84 130 162 131 108 65 16 14 12 1
"121" 22 23 19 34 35 22 6 13 26 67 117 123 105 112 53 11 4 5 10 11 1
"122" 23 92 360 524 349 293 236 139 85 49 84 86 71 37 35 16 15 4 0 0 1
"123" 23 26 54 52 14 11 17 30 64 135 168 112 84 40 35 38 40 64 63 75 1
"124" 4 3 3 6 0 2 1 1 4 9 8 5 5 7 7 3 3 6 1 2 1
"125" 0 3 3 0 2 0 0 1 3 5 5 2 2 1 0 1 2 1 1 1 1
"126" 2 2 1 1 4 6 1 2 2 2 4 9 9 2 4 7 7 2 3 2 1
"127" 0 0 9 4 2 10 14 11 21 53 93 105 58 54 40 51 50 68 206 330 1
"128" 3 2 10 2 1 9 6 7 21 24 24 26 25 23 16 23 10 3 11 14 1
"129" 6 1 1 6 5 3 4 2 1 2 3 2 1 2 1 1 0 0 7 9 1
"130" 40 22 3 13 28 99 435 466 246 210 245 170 148 129 66 37 25 26 34 56 1
"131" 30 38 36 24 12 39 100 178 213 248 227 224 194 163 129 59 19 20 28 39 1
"132" 0 2 6 0 3 4 2 4 9 10 8 7 11 16 20 13 7 7 7 6 1
"133" 13 6 17 21 7 17 25 86 141 137 131 121 143 101 99 42 15 19 19 7 1
"134" 4 4 1 0 1 4 13 11 8 4 7 2 1 1 2 2 1 1 4 0 1
"135" 55 81 115 199 304 235 230 315 240 237 177 168 183 106 61 45 15 17 24 39 1
"136" 11 4 4 5 7 2 2 0 6 17 13 8 4 3 6 2 6 3 1 1 1
"137" 13 10 12 24 25 20 11 15 44 72 54 51 91 52 13 9 13 11 15 28 1
"138" 11 0 0 17 21 16 17 25 38 35 49 30 18 14 8 7 7 19 3 8 1
"139" 0 3 3 1 2 1 1 5 7 10 8 7 0 0 1 1 0 0 0 0 1
"140" 14 22 26 59 132 182 184 310 376 332 411 366 266 183 118 63 80 92 127 234 1
"141" 85 79 28 14 38 51 85 140 234 254 300 323 321 368 380 179 237 226 112 87 1
"142" 8 11 14 14 14 7 7 11 8 13 8 11 7 5 1 2 4 7 6 10 1
"143" 4 5 2 6 8 5 8 24 36 42 58 46 56 57 32 16 12 9 8 20 1
"144" 2 0 6 3 5 3 6 4 5 13 22 14 8 3 0 0 0 0 0 0 1
"145" 2 2 2 3 11 4 3 6 5 6 6 0 0 5 12 10 2 2 1 0 1
"146" 155 95 64 69 95 167 177 137 256 280 217 221 217 102 51 29 14 18 22 20 1
"147" 18 14 9 3 3 8 16 18 35 57 45 18 11 9 3 2 5 15 16 4 1
"148" 10 8 22 51 103 211 237 245 242 295 322 315 204 171 121 101 69 39 48 81 1
"149" 17 11 7 11 14 28 14 14 22 52 66 46 21 8 15 24 22 24 17 21 1
"150" 6 13 12 12 18 10 10 11 8 4 9 22 26 8 10 7 7 7 7 7 1
"151" 7 8 13 10 11 8 4 8 11 12 15 3 6 2 1 12 5 7 11 4 1
"152" 10 12 4 2 0 0 0 0 0 0 0 1 0 0 3 3 5 7 3 4 1
"153" 3 3 6 4 6 8 7 10 8 3 3 4 4 8 8 3 0 0 0 0 1
"154" 31 14 17 5 7 1 1 3 4 4 2 0 3 8 1 4 3 0 3 3 1
"155" 6 4 4 9 8 5 6 11 10 3 0 0 2 3 4 5 2 5 4 3 1
"156" 23 17 19 9 16 24 6 4 14 26 29 34 34 17 12 5 3 13 19 11 1
"157" 0 0 1 8 9 2 4 10 6 9 10 8 10 11 20 15 6 0 2 3 1
"158" 32 7 2 4 31 110 165 160 122 70 48 60 94 220 305 220 267 369 180 103 1
"159" 48 45 44 41 39 55 36 21 21 16 21 20 13 18 11 6 5 4 5 19 1
"160" 29 19 9 28 53 117 172 151 197 103 42 12 8 9 17 52 79 49 21 15 1
"161" 4 4 6 14 12 13 11 14 12 7 17 15 9 8 7 1 6 10 7 4 1
"162" 3 2 5 13 10 7 9 5 3 2 11 14 14 19 9 2 2 12 33 24 1
"163" 164 125 71 36 22 13 15 93 179 146 190 214 169 112 43 18 23 35 68 84 1
"164" 20 12 5 11 7 5 9 41 69 91 91 60 35 17 10 8 20 14 5 1 1
"165" 28 30 31 16 14 23 11 15 11 19 29 18 18 24 27 21 12 7 4 2 1
"166" 6 5 5 4 1 10 14 10 17 17 13 12 19 23 26 31 22 37 37 13 1
"167" 20 17 26 21 37 22 32 38 67 81 58 31 9 27 36 50 49 77 67 42 1
"168" 0 11 13 10 22 25 9 7 17 10 33 18 10 12 26 28 11 2 0 0 1
"169" 4 5 3 2 0 0 4 2 2 2 2 1 1 2 3 1 1 4 1 0 1
"170" 3 3 0 3 4 0 10 10 7 7 11 3 0 0 0 0 2 2 0 0 1
"171" 1 1 0 1 0 2 5 3 9 30 63 56 66 60 22 15 10 10 19 8 1
"172" 3 11 10 3 3 2 4 7 6 4 2 0 7 7 8 12 2 2 6 4 1
"173" 1 4 3 0 0 4 11 13 9 18 19 12 4 3 6 6 3 3 2 2 1
"174" 15 16 25 14 8 12 9 15 44 106 112 46 23 20 17 10 8 23 28 20 1
"175" 0 1 1 0 0 0 0 4 4 14 5 3 8 15 20 3 3 2 12 11 1
"176" 0 0 0 0 0 0 9 12 17 12 8 6 5 8 8 7 13 7 3 4 1
"177" 14 14 13 15 23 14 28 45 158 333 286 264 235 214 294 480 460 311 179 88 1
"178" 4 7 9 6 7 9 12 14 19 35 33 13 5 5 8 4 2 11 10 7 1
"179" 13 8 5 3 8 16 21 14 18 29 25 30 56 50 24 21 31 23 8 16 1
"180" 0 0 0 0 0 0 2 2 0 2 1 4 7 14 9 10 10 7 7 2 1
"181" 9 2 5 5 10 10 13 13 4 14 17 9 12 3 4 18 15 17 18 9 1
"182" 19 5 11 19 73 114 145 164 189 173 130 79 21 24 37 20 30 18 6 20 1
"183" 6 4 10 7 1 4 4 2 6 14 23 15 6 12 8 10 7 13 11 4 1
"184" 16 0 11 25 11 18 60 101 118 87 113 86 65 46 35 15 24 23 8 14 1
"185" 15 11 6 5 2 9 11 4 9 13 7 16 20 11 4 8 6 5 3 7 1
"186" 2 4 7 7 1 7 7 6 2 6 6 8 6 3 4 5 15 9 3 6 1
"187" 17 11 10 13 15 4 13 14 8 4 4 8 12 7 16 13 21 19 8 7 1
"188" 0 2 4 3 5 5 6 10 6 6 10 10 6 7 7 3 6 5 0 0 1
"189" 31 34 32 24 11 10 7 26 69 99 148 90 82 86 68 74 97 68 60 80 1
"190" 14 19 18 12 6 7 6 6 9 15 11 7 6 3 3 7 10 17 11 3 1
"191" 9 1 4 5 3 6 2 4 2 8 6 5 6 5 6 5 3 4 1 4 1
"192" 0 3 11 18 46 48 83 131 143 199 191 114 80 34 18 8 12 24 36 42 1
"193" 20 5 8 5 11 25 76 128 106 94 58 24 16 10 16 23 16 14 23 32 1
"194" 18 34 40 21 14 21 50 163 226 336 371 474 313 203 271 82 45 28 28 46 1
"195" 72 138 225 196 174 297 323 285 230 145 86 58 53 60 78 71 55 43 36 29 1
"196" 24 7 14 40 29 12 5 9 15 23 13 15 26 21 21 12 29 22 6 8 1
"197" 96 70 37 19 27 13 7 12 14 18 17 8 11 28 29 14 8 4 2 4 1
"198" 17 16 32 28 16 20 18 28 54 35 29 30 10 11 9 4 11 8 7 5 1
"199" 0 0 2 3 4 1 1 6 3 7 6 1 2 2 2 1 4 11 14 5 1
"200" 390 444 211 108 37 86 145 240 284 283 321 363 226 156 89 27 26 31 42 37 1
"201" 0 0 0 0 0 4 16 12 9 13 18 9 2 8 8 1 8 6 7 8 1
"202" 5 5 5 6 8 7 6 12 5 5 6 0 0 0 0 0 0 0 0 0 1
"203" 3 5 5 5 7 10 3 3 2 2 4 5 4 5 8 8 9 1 9 3 1
"204" 16 24 13 11 10 19 17 14 17 23 25 27 23 36 49 32 22 27 28 43 1
"205" 4 3 14 9 8 25 79 145 149 100 106 113 78 46 30 14 14 11 26 27 1
"206" 70 81 76 108 153 111 62 110 106 86 100 87 60 42 27 22 30 39 48 55 1
"207" 8 7 16 11 2 6 8 5 3 5 9 27 6 1 9 12 10 4 4 4 1
"208" 11 12 4 1 2 1 1 5 5 3 2 3 1 8 7 0 1 0 0 2 1
"209" 4 4 10 7 15 15 11 15 17 10 15 19 17 9 7 5 13 12 1 6 1
"210" 23 10 9 13 14 13 14 25 33 25 23 13 27 30 16 6 9 7 0 5 1
"211" 4 0 1 1 4 7 2 3 5 5 5 4 4 1 0 1 2 1 0 2 1
"212" 6 7 10 18 19 15 10 10 8 4 7 15 11 9 10 7 7 1 0 0 1
"213" 0 0 0 0 0 2 11 8 7 12 9 6 5 6 7 3 3 3 8 5 1
"214" 1971 2493 115 182 120 60 21 16 50 108 315 285 97 27 21 8 3 9 8 4 1
"215" 0 0 1 3 9 7 9 4 3 2 1 2 2 4 6 5 2 3 5 5 1
"216" 4 2 4 9 8 12 11 23 14 11 8 6 9 10 3 6 1 5 7 8 1
"217" 14 6 15 20 10 3 4 12 19 16 23 11 11 8 7 2 5 3 10 9 1
"218" 54 68 79 160 133 148 178 299 344 284 272 427 499 700 764 416 275 272 145 44 1
"219" 2 1 1 11 7 1 2 8 4 0 4 9 8 7 6 2 3 4 2 8 1
"220" 43 23 18 36 34 71 117 127 154 151 85 75 79 69 53 44 36 25 14 15 1
"221" 26 57 50 25 35 47 51 51 37 176 171 114 25 14 20 44 41 48 46 34 1
"222" 12 8 2 1 0 0 3 3 5 3 3 8 7 7 4 4 2 7 4 3 1
"223" 5 3 9 19 25 21 23 30 38 53 60 55 24 15 8 7 22 23 23 18 1
"224" 21 17 24 37 31 26 39 87 223 341 343 440 375 346 362 205 146 92 43 27 1
"225" 85 49 56 75 67 103 181 154 192 214 117 98 81 43 30 13 9 12 23 35 1
"226" 21 39 18 8 23 58 143 111 103 219 252 133 97 57 38 46 48 83 47 28 1
"227" 24 40 71 192 305 302 393 235 435 443 359 506 612 596 397 268 319 166 65 30 1
"228" 0 0 0 0 1 1 0 2 2 0 0 3 5 3 3 3 3 6 5 3 1
"229" 17 7 3 7 10 11 4 3 15 17 12 11 9 9 6 12 5 5 5 12 1
"230" 1 6 12 9 8 14 7 6 8 13 7 2 12 16 7 6 3 3 8 19 1
"231" 5 10 7 0 5 5 1 0 0 8 11 3 4 8 7 4 4 1 2 5 1
"232" 2 1 0 5 7 7 6 2 3 7 1 10 10 8 5 1 0 2 0 0 1
"233" 5 3 8 10 6 1 6 4 2 9 2 0 4 2 0 0 4 0 1 3 1
"234" 7 6 4 8 5 1 1 5 4 7 13 10 3 3 4 2 9 8 7 8 1
"235" 0 0 10 15 11 14 25 15 8 13 16 26 29 17 14 8 8 12 11 8 1
"236" 0 6 6 0 2 5 1 8 12 12 3 3 9 13 4 4 2 0 4 10 1
"237" 4 10 17 9 11 5 2 7 9 16 8 7 5 0 0 1 1 0 0 0 1
"238" 73 86 63 28 28 47 102 126 140 135 105 89 74 54 46 37 19 14 17 12 1
"239" 10 15 20 8 16 14 17 21 30 55 34 35 40 43 38 34 25 14 6 6 1
"240" 0 0 0 0 2 9 10 4 0 6 8 4 4 5 15 12 7 18 14 15 1
"241" 6 5 15 12 6 13 23 34 58 72 92 118 92 76 59 57 35 29 17 15 1
"242" 23 25 23 15 19 17 8 6 5 6 9 6 2 1 6 8 3 0 11 2 1
"243" 3 3 4 4 6 5 1 10 25 31 24 6 1 0 1 3 1 0 0 0 1
"244" 13 13 8 5 12 17 23 17 13 13 25 26 5 8 4 3 1 2 2 5 1
"245" 16 6 17 25 23 16 11 9 9 11 20 33 40 52 51 46 70 51 53 49 1
"246" 0 0 1 0 3 8 3 2 10 14 11 4 5 5 0 4 3 0 0 0 1
"247" 0 1 1 0 0 0 5 2 4 17 15 10 5 0 0 0 5 5 12 1 1
"248" 18 15 8 4 10 22 34 50 62 47 33 25 18 15 4 0 0 0 0 0 1
"249" 13 13 11 14 8 11 23 34 85 100 57 50 47 17 3 20 23 18 12 13 1
"250" 16 28 39 82 132 112 90 72 161 123 79 79 66 47 20 19 20 6 10 26 1
"251" 13 11 29 15 10 38 52 85 139 132 47 116 106 56 57 59 55 43 34 34 1
"252" 3 1 1 2 3 1 0 5 10 9 3 8 8 1 5 0 0 2 5 5 1
"253" 12 8 15 15 19 57 81 110 172 131 84 97 104 74 49 19 19 6 5 1 1
"254" 8 10 3 5 1 0 0 4 4 5 4 0 3 7 4 0 1 1 0 0 1
"255" 30 35 38 41 42 38 56 171 258 147 119 172 182 107 66 45 21 32 51 72 1
"256" 9 10 9 5 1 4 8 4 6 8 11 15 13 12 5 8 8 6 8 15 1
"257" 0 1 2 7 9 6 4 4 6 12 9 5 5 5 8 3 13 9 2 0 1
"258" 14 19 24 17 32 42 26 20 30 32 36 56 63 58 27 37 42 23 22 23 1
"259" 48 49 44 37 17 10 16 11 27 44 43 40 11 9 32 27 24 40 47 36 1
"260" 64 109 140 178 226 351 295 206 108 95 50 32 22 57 64 43 40 51 44 28 1
"261" 3 2 4 4 1 2 4 19 22 37 10 14 8 2 3 5 4 3 8 6 1
"262" 35 33 14 10 25 45 82 74 56 55 41 21 19 12 27 30 11 5 3 10 1
"263" 0 8 9 6 8 6 0 1 1 7 0 1 1 10 11 5 2 4 1 0 1
"264" 8 2 2 10 9 7 5 4 6 15 9 10 12 2 1 3 4 6 4 3 1
"265" 76 56 28 27 91 112 114 550 864 542 650 583 398 193 105 50 67 153 209 130 1
"266" 7 11 5 0 0 1 4 3 9 14 13 11 1 3 4 5 3 4 2 0 1
"267" 1 0 0 0 7 12 10 7 9 7 5 9 10 10 5 4 14 7 0 3 1
"268" 17 26 19 22 20 14 18 71 122 215 226 204 220 209 138 55 18 13 30 25 1
"269" 4 9 9 6 7 10 12 9 14 7 22 15 2 3 3 6 8 6 4 4 1
"270" 7 2 7 4 3 2 2 2 3 8 8 6 1 3 4 4 4 0 2 9 1
"271" 6 4 5 6 3 3 6 17 39 37 10 12 9 5 3 6 5 2 2 5 1
"272" 13 12 30 34 64 85 53 113 94 41 29 25 14 12 16 14 7 5 5 15 1
"273" 7 17 15 4 5 14 19 28 24 77 112 136 157 109 71 37 17 32 35 22 1
"274" 3 3 2 2 1 1 4 9 4 11 12 10 6 5 4 0 0 1 3 4 1
"275" 3 6 6 14 17 13 6 11 11 13 14 13 27 28 17 16 18 21 22 14 1
"276" 31 32 35 29 17 19 31 42 71 95 73 38 19 24 19 16 7 29 54 61 1
"277" 2 1 3 10 17 16 9 9 10 6 7 6 4 7 18 13 4 3 6 3 1
"278" 15 17 15 18 21 58 124 118 77 75 74 37 57 41 13 19 18 20 25 37 1
"279" 0 4 2 1 10 9 0 6 5 4 4 1 8 8 1 0 1 1 0 0 1
"280" 30 35 31 18 23 33 58 120 154 135 119 119 247 233 177 81 125 238 275 314 1
"281" 47 10 0 2 21 10 2 22 29 22 4 14 23 17 18 8 4 18 29 14 1
"282" 2 5 5 6 4 2 7 10 9 7 7 4 3 2 2 3 3 1 6 5 1
"283" 7 4 15 27 17 6 19 40 62 114 119 149 118 83 62 30 11 24 46 33 1
"284" 26 39 59 119 166 138 115 117 115 137 120 99 68 44 34 28 30 22 19 8 1
"285" 7 7 5 7 2 2 7 12 5 7 13 12 5 2 3 3 2 0 0 7 1
"286" 9 8 8 6 5 9 21 17 7 9 12 8 6 17 8 13 11 8 9 9 1
"287" 0 3 4 4 6 4 3 4 1 1 0 6 7 0 3 8 4 2 3 0 1
"288" 13 13 8 1 4 4 7 4 0 4 4 11 9 4 9 9 8 6 6 1 1
"289" 7 9 9 3 4 11 19 8 12 11 6 10 12 3 1 1 3 9 7 7 1
"290" 4 4 3 1 5 14 13 8 9 9 12 14 18 21 20 10 8 2 3 8 1
"291" 0 11 16 5 3 19 8 14 31 11 17 14 25 17 2 12 3 3 2 0 1
"292" 6 22 19 2 3 5 4 4 4 8 26 23 7 6 4 1 4 3 5 9 1
"293" 9 22 16 14 9 9 7 15 22 27 37 24 19 19 20 15 12 8 9 12 1
"294" 0 0 0 0 0 1 1 3 14 29 8 11 7 5 7 11 9 4 5 6 1
"295" 6 3 5 8 9 9 16 3 4 3 5 5 5 13 5 2 2 0 6 6 1
"296" 1 0 1 0 1 3 2 13 27 30 26 13 26 15 10 5 9 11 2 2 1
"297" 14 11 3 2 15 16 8 5 5 11 5 8 13 8 10 4 3 0 1 1 1
"298" 18 15 8 11 25 23 66 70 91 154 147 250 190 174 150 194 175 120 127 97 1
"299" 38 37 57 93 85 72 190 154 111 198 126 72 104 123 96 58 46 56 66 53 1
"300" 2 2 10 11 0 2 6 14 9 7 9 2 3 0 1 7 14 18 12 7 1
